Survey_Id,Survey_Name,Collection_Period,Collection_Period_Label,
023,Monthly Business Survey - Retail Sales Index,9999,January 2018 (test),
062,Annual Inward Foreign Direct Investment Survey,999999,1 January 2017 to 31 December 2017 (test),
063,Annual Outward Foreign Direct Investment Survey,999999,1 January 2017 to 31 December 2017 (test),
064,Quarterly Inward Foreign Direct Investment Survey,999999,1 January 2018 to 31 March 2018 (test),
065,Quarterly Outward Foreign Direct Investment Survey,999999,1 October 2018 to 31 December 2018 (test),
066,Quarterly Survey of Building Materials Sand and Gravel,999999,December 2018 (test),
073,Monthly Survey of Building Materials Concrete Building Blocks,999999,January 2018 (test),
074,Monthly Survey of Building Materials Bricks,999999,December 2018 (test),
134,Monthly Wages and Salaries Survey,999999,December 2018 (test),
137,Public Corporations Survey ,999999,December 2018 (test),
139,Quarterly Business Survey,9999,14 December 2018 (test),
141,Annual Survey of Hours and Earnings,999999,The pay period that includes 18 April 2018 (test),
199,National Balance Sheet,999999,Data as at 31 December 2017 (test),
221,Business Register and Employment Survey,999999,1st January 2017 to 31st December 2017 (test),
225,Outward Foreign Affiliates Statistics Survey,999999,1st January 2017 to 31st December 2017 (test),
500,Government Research and Development Survey,999999,6th April 2017 to 5th April 2018 (test),
