survey_code,survey_period,mps,go_live,ref_period_start,ref_period_end,return_by,reminder,reminder2,reminder3,employment,exercise_end
023,201804,190418,240418,010418,280418,050518,080518,,,,310520
023,201805,170518,220518,290418,260518,020618,040618,,,,300620
023,201806,210618,260618,270518,300618,070718,090718,,,150618,310720
023,201807,190718,240718,010718,280718,040818,060818,,,,310820
023,201808,160818,210818,290718,250818,010918,030918,,,,300920
023,201809,200918,250918,260818,290918,061018,081018,,,140918,311020
023,201810,181018,231018,300918,271018,031118,051118,,,,301120
023,201811,151118,201118,281018,241118,011218,031218,,,,311220
023,201812,071218,141218,251118,291218,050119,070119,,,141218,310121
134,201802,160218,220218,010218,280218,070318,130318,,,,300410
134,201803,210318,260318,010318,310318,090418,110418,,,,310520
134,201804,200418,260418,010418,300418,080518,140518,,,,300620
134,201805,180518,240518,010518,310518,080618,120618,,,,310720
134,201806,210618,260618,010618,300618,090718,120718,,,,310820
134,201807,200718,260718,010718,310718,080818,130818,,,,300920
134,201808,170818,240818,010818,310818,070918,120918,,,,311020
134,201809,190918,250918,010918,300918,081018,111018,,,,301120
134,201810,191018,251018,011018,311018,081118,141118,,,,311220
134,201811,211118,261118,011118,301118,071218,111218,,,,310121
134,201812,121218,171218,011218,311218,080119,140119,,,,280221
139,1803,140318,190318,090318,310318,270318,030418,230418,050518,090318,300420
139,1806,130618,180618,150618,300618,270618,030718,230718,060818,150618,310720
139,1809,120918,170918,140918,300918,280918,021018,121018,051118,140918,301020
139,1812,061218,111218,141218,311218,211218,030119,,,141218,310121
